#Duplication rate	Coverage
1.0	17963.0
2.0	6210.0
3.0	2585.0
4.0	1290.0
5.0	775.0
6.0	490.0
7.0	335.0
8.0	197.0
9.0	187.0
10.0	113.0
11.0	91.0
12.0	75.0
13.0	69.0
14.0	54.0
15.0	47.0
16.0	40.0
17.0	27.0
18.0	25.0
19.0	22.0
20.0	28.0
21.0	14.0
22.0	20.0
23.0	14.0
24.0	21.0
25.0	12.0
26.0	6.0
27.0	14.0
28.0	8.0
29.0	9.0
30.0	11.0
31.0	7.0
32.0	6.0
33.0	5.0
34.0	7.0
35.0	3.0
36.0	6.0
37.0	6.0
38.0	6.0
39.0	5.0
40.0	7.0
41.0	2.0
42.0	7.0
43.0	3.0
44.0	3.0
45.0	4.0
46.0	2.0
47.0	3.0
48.0	4.0
49.0	2.0
50.0	59.0
